If Inferred=1, the connectivity between neurons was inferred using axonic/dendritic polarity predicted by SPIN:Skeleton-based Polarity Identification for Neurons. Please refer to 
SPIN: A Method of Skeleton-based Polarity Identification for Neurons. Neurinformatics 12:487-507. Yi-Hsuan Lee, Yen-Nan Lin, Chao-Chun Chuang and Chung-Chuan Lo (2014)
for more details
PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
VGlut-F-700185,VGlut-F-700153,2,1
VGlut-F-700185,Trh-F-600017,3,1
VGlut-F-700185,VGlut-F-800121,1,1
VGlut-F-600438,Trh-F-600017,6,1
VGlut-F-600438,VGlut-F-700132,2,1
VGlut-F-500602,Trh-F-600017,6,1
VGlut-F-600123,Trh-F-600017,9,1
npf-F-200018,VGlut-F-400462,1,1
npf-F-200018,fru-F-400276,3,1
npf-F-200018,Trh-F-600017,21,1
VGlut-F-700243,Trh-F-600017,1,1
VGlut-F-500772,Trh-F-600017,5,1
VGlut-F-500772,VGlut-F-700132,2,1
npf-F-200001,VGlut-F-600300,1,1
npf-F-200001,Trh-F-600017,17,1
npf-F-200001,fru-F-400276,5,1
VGlut-F-500103,Trh-F-600017,10,1
VGlut-F-500322,Trh-F-600017,16,1
npf-F-300040,VGlut-F-400462,1,1
npf-F-300040,VGlut-F-700132,3,1
npf-F-300040,Trh-F-600017,18,1
fru-F-400276,Trh-F-600017,3,1
VGlut-F-400462,Trh-F-600017,1,1
VGlut-F-700301,Trh-F-600017,7,1
5HT1A-F-100032,Trh-F-600017,13,1
VGlut-F-300235,Trh-F-600017,13,1
VGlut-F-500143,Trh-F-600017,4,1
npf-F-300029,VGlut-F-400462,1,1
npf-F-300029,fru-F-400276,1,1
npf-F-300029,Trh-F-600017,10,1
VGlut-F-700214,VGlut-F-700132,2,1
VGlut-F-700214,fru-F-700239,5,1
VGlut-F-700214,Trh-F-600017,3,1
VGlut-F-700132,Trh-F-600017,1,1
Trh-F-100038,Trh-F-000008,5,1
Trh-F-100038,VGlut-F-300555,13,1
Trh-F-100038,VGlut-F-200077,8,1
Trh-F-100038,VGlut-F-200051,7,1
Trh-F-100038,VGlut-F-300235,1,1
Trh-F-000008,VGlut-F-200051,10,1
Trh-F-000008,VGlut-F-200077,11,1
VGlut-F-500259,Trh-F-600017,5,1
Gad1-F-000167,Trh-F-600017,11,1
VGlut-F-700244,Trh-F-600017,2,1
VGlut-F-500178,Trh-F-600017,5,1
VGlut-F-500178,VGlut-F-400462,2,1
VGlut-F-500178,VGlut-F-700132,2,1
VGlut-F-500178,fru-F-700239,1,1
npf-F-100003,VGlut-F-600300,6,1
npf-F-100003,VGlut-F-700132,3,1
npf-F-100003,Trh-F-600017,11,1
npf-F-100003,VGlut-F-400462,3,1
VGlut-F-500372,Trh-F-600017,3,1
VGlut-F-500563,Trh-F-600017,1,1
VGlut-F-500563,VGlut-F-700132,2,1
VGlut-F-500563,VGlut-F-400462,1,1
VGlut-F-700471,fru-F-400276,1,1
VGlut-F-500075,Trh-F-600017,6,1
VGlut-F-500085,VGlut-F-700132,3,1
VGlut-F-500085,Trh-F-600017,7,1
VGlut-F-500566,Trh-F-600017,4,1
VGlut-F-300555,Trh-F-600017,22,1
VGlut-F-700439,Trh-F-600017,6,1
Cha-F-100152,VGlut-F-500372,3,1
Cha-F-100152,Gad1-F-400129,1,1
Cha-F-100152,Gad1-F-800162,2,1
Cha-F-100152,fru-F-700165,1,1
Cha-F-100152,VGlut-F-600725,8,1
Cha-F-100152,VGlut-F-700132,1,1
Cha-F-100152,VGlut-F-800121,2,1
Cha-F-100152,VGlut-F-200077,4,1
Cha-F-100152,npf-F-100004,1,1
Cha-F-100152,5HT1A-F-100032,2,1
Cha-F-100152,Trh-F-400014,1,1
Cha-F-100152,VGlut-F-200115,1,1
Cha-F-100152,VGlut-F-500085,1,1
Cha-F-100152,npf-F-200001,2,1
Cha-F-100152,npf-F-300040,1,1
Cha-F-100152,VGlut-F-600438,1,1
Cha-F-100152,Trh-F-700038,2,1
Cha-F-100152,VGlut-F-600123,2,1
Cha-F-100152,VGlut-F-800016,1,1
Cha-F-100152,VGlut-F-500826,11,1
Cha-F-100152,VGlut-F-400462,3,1
Cha-F-100152,Trh-F-000008,3,1
Cha-F-100152,npf-F-200018,7,1
Cha-F-100152,VGlut-F-700439,1,1
Cha-F-100152,Gad1-F-100234,2,1
Cha-F-100152,VGlut-F-500602,2,1
Cha-F-100152,VGlut-F-400059,2,1
Cha-F-100152,npf-F-300047,5,1
Cha-F-100152,Gad1-F-000167,2,1
Cha-F-100152,npf-F-300029,2,1
Cha-F-100152,VGlut-F-500772,2,1
Cha-F-100152,VGlut-F-500178,2,1
Cha-F-100152,VGlut-F-700214,3,1
Cha-F-100152,VGlut-F-400720,3,1
Cha-F-100152,VGlut-F-500566,1,1
Cha-F-100152,npf-F-200027,6,1
Cha-F-100152,VGlut-F-900081,2,1
Cha-F-100152,VGlut-F-500563,1,1
Cha-F-100152,VGlut-F-300555,1,1
Cha-F-100152,VGlut-F-900120,2,1
Cha-F-100152,VGlut-F-700185,2,1
Cha-F-100152,VGlut-F-800118,1,1
Cha-F-100152,VGlut-F-700153,4,1
Cha-F-100152,VGlut-F-300235,6,1
Cha-F-100152,VGlut-F-000106,3,1
Cha-F-100152,VGlut-F-700244,2,1
Cha-F-100152,VGlut-F-500502,1,1
Cha-F-100152,VGlut-F-300085,6,1
Cha-F-100152,VGlut-F-700154,1,1
Cha-F-100152,Gad1-F-300382,1,1
Cha-F-100152,npf-F-100011,2,1
Cha-F-100152,Gad1-F-500299,4,1
Cha-F-100152,VGlut-F-400519,6,1
Cha-F-100152,VGlut-F-700243,2,1
Cha-F-100152,VGlut-F-700471,3,1
Cha-F-100152,VGlut-F-600251,4,1
Cha-F-100152,VGlut-F-600300,6,1
Cha-F-100152,VGlut-F-500322,4,1
Cha-F-100152,npf-F-300001,1,1
Cha-F-100152,VGlut-F-500103,1,1
Cha-F-100152,Gad1-F-000185,1,1
Cha-F-100152,VGlut-F-800046,5,1
Cha-F-100152,VGlut-F-200051,4,1
Cha-F-100152,npf-F-100009,4,1
Cha-F-100152,npf-F-100003,2,1
Cha-F-100152,VGlut-F-800289,3,1
Cha-F-100152,Gad1-F-500312,3,1
Cha-F-100152,VGlut-F-200571,3,1
Cha-F-100152,VGlut-F-500075,2,1
Cha-F-100152,VGlut-F-600751,4,1
Cha-F-100152,fru-F-400276,3,1
Cha-F-100152,VGlut-F-500143,1,1
Cha-F-100152,Trh-F-100038,2,1
Cha-F-100152,VGlut-F-500259,1,1
Cha-F-100152,fru-F-700239,1,1
Cha-F-100152,Trh-F-600017,1,1
Cha-F-100152,VGlut-F-700301,5,1
Cha-F-100152,npf-F-200022,2,1
Trh-F-700038,Trh-F-600017,14,1
VGlut-F-600751,VGlut-F-700132,2,1
VGlut-F-800118,Trh-F-600017,12,1
npf-F-200022,Trh-F-600017,14,1
VGlut-F-700154,fru-F-400276,2,1
VGlut-F-700154,VGlut-F-600300,3,1
npf-F-100004,VGlut-F-700132,2,1
npf-F-100004,Trh-F-600017,14,1
npf-F-100004,VGlut-F-600300,1,1
Gad1-F-300382,Trh-F-600017,4,1
npf-F-300001,VGlut-F-400462,2,1
npf-F-300001,VGlut-F-700132,1,1
npf-F-300001,Trh-F-600017,9,1
npf-F-300001,fru-F-400276,2,1
VGlut-F-600251,Trh-F-600017,4,1
VGlut-F-600251,VGlut-F-700132,3,1
VGlut-F-600251,VGlut-F-400462,2,1
fru-F-700165,Trh-F-600017,4,1
npf-F-300047,fru-F-400276,5,1
npf-F-300047,Trh-F-600017,14,1
VGlut-F-200115,VGlut-F-400059,3,1
VGlut-F-200115,Trh-F-600017,7,1
fru-F-700239,Trh-F-600017,5,1
VGlut-F-600300,Trh-F-600017,3,1
Gad1-F-800162,Trh-F-600017,2,1
Gad1-F-800162,VGlut-F-600300,1,1
Trh-F-400014,Trh-F-600017,8,1
Gad1-F-500312,Trh-F-600017,3,1
npf-F-100009,Trh-F-600017,13,1
npf-F-100009,VGlut-F-700132,6,1
npf-F-100009,VGlut-F-400462,2,1
Gad1-F-500299,VGlut-F-400462,2,1
Gad1-F-500299,Trh-F-600017,9,1
VGlut-F-400720,Trh-F-600017,12,1
VGlut-F-000106,fru-F-700239,8,1
VGlut-F-000106,VGlut-F-700153,1,1
VGlut-F-000106,Trh-F-600017,10,1
VGlut-F-000106,VGlut-F-400462,1,1
npf-F-200027,Trh-F-600017,10,1
npf-F-200027,fru-F-400276,2,1
npf-F-100011,Trh-F-600017,13,1
npf-F-100011,VGlut-F-400462,2,1
npf-F-100011,fru-F-400276,2,1
npf-F-100011,VGlut-F-700132,7,1
VGlut-F-600725,VGlut-F-800121,2,1
VGlut-F-600725,Trh-F-600017,1,1
VGlut-F-500502,fru-F-400276,2,1
VGlut-F-500502,Trh-F-600017,6,1
VGlut-F-700153,Trh-F-600017,7,1
VGlut-F-300085,Trh-F-600017,3,1
VGlut-F-500826,Trh-F-600017,4,1
VGlut-F-900120,Trh-F-600017,15,1
VGlut-F-200571,Trh-F-600017,13,1